episode,total_steps,eval_reward_avg,ep_steps,reward,env_return,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,buffer_uncert_avg,sampled_uncert_avg,fresh_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon
12,238,nan,25,10.412298582494259,10.450693522527612,1.2366145849227905,1.2366145849227905,1.1129530668258667,1.2366145849227905,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,259,nan,21,19.21933981217444,19.226091198616345,1.7601064443588257,1.7601064443588257,1.5840959548950195,1.7601064443588257,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,274,nan,15,11.050588876008987,11.074790328114728,1.1632221937179565,1.1632221937179565,1.0469000339508057,1.1632221937179565,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,288,nan,14,10.357606709003448,10.36506816153301,1.2950775623321533,1.2950775623321533,1.1655696630477905,1.2950775623321533,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,299,nan,11,3.9258018657565117,3.9409970370328686,1.39473295211792,1.39473295211792,1.25525963306427,1.39473295211792,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,315,nan,16,14.341480195522308,14.366138210410366,1.518517255783081,1.518517255783081,1.3666656017303467,1.518517255783081,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,331,nan,16,13.605939373373985,13.613205954173178,1.4688632488250732,1.4688632488250732,1.321976900100708,1.4688632488250732,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,355,nan,24,18.075872510671616,18.068698929191434,1.467490553855896,1.467490553855896,1.3207412958145142,1.467490553855896,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,374,nan,19,15.737458124756813,15.738187632214313,1.5233103036880493,1.5233103036880493,1.3709791898727417,1.5233103036880493,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,388,nan,14,11.010714739561081,11.015802778615209,1.5378998517990112,1.5378998517990112,1.3841098546981812,1.5378998517990112,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,397,nan,9,5.755528807640076,5.771509091196645,1.57357919216156,1.57357919216156,1.416221261024475,1.57357919216156,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,426,nan,29,19.96957890689373,19.990182178342618,1.6259137392044067,1.6259137392044067,1.4633225202560425,1.6259137392044067,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,456,nan,30,14.34180873632431,14.359489253735049,1.5078128576278687,1.5078128576278687,1.3570315837860107,1.5078128576278687,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,468,nan,12,7.761572062969208,7.768185651296013,1.7095619440078735,1.7095619440078735,1.5386056900024414,1.7095619440078735,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,481,nan,13,8.188584387302399,8.19507676740272,1.6041501760482788,1.6041501760482788,1.4437350034713745,1.6041501760482788,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,507,nan,26,13.645185232162476,13.660444275161165,1.2174797058105469,1.2174797058105469,1.0957318544387817,1.2174797058105469,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,519,nan,12,7.4403586983680725,7.4322545990274245,1.6162991523742676,1.6162991523742676,1.4546691179275513,1.6162991523742676,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,559,nan,40,36.91633611917496,36.91404229420991,1.3526214361190796,1.3526214361190796,1.217359185218811,1.3526214361190796,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,575,nan,16,5.0206229519099,5.008156912113086,1.5193912982940674,1.5193912982940674,1.3674521446228027,1.5193912982940674,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,600,nan,25,11.198295064270496,11.244516315438485,1.2652636766433716,1.2652636766433716,1.1387372016906738,1.2652636766433716,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,609,nan,9,5.42329603433609,5.43513979972287,1.3913214206695557,1.3913214206695557,1.2521892786026,1.3913214206695557,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,623,nan,14,9.806876182556152,9.811165073606809,1.6766421794891357,1.6766421794891357,1.5089778900146484,1.6766421794891357,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,640,nan,17,9.224476774223149,9.223191090493977,1.4803985357284546,1.4803985357284546,1.332358717918396,1.4803985357284546,nan,nan,nan,nan,nan,nan,nan,nan,nan
