seed,episode,total_steps,reward,episode_length,td_loss_avg,model_loss_avg,horizon_length,real_buffer_size,model_buffer_size,q1_avg,q2_avg,target_q_avg,model_pred_error_avg,model_err_hull_angle,model_err_hull_angvel,model_err_vel_x,model_err_vel_y,model_err_hip1_angle,model_err_hip1_speed,model_err_knee1_angle,model_err_knee1_speed,model_err_left_contact,model_err_hip2_angle,model_err_hip2_speed,model_err_knee2_angle,model_err_knee2_speed,model_err_right_contact
1,35,18413,-71.12958143861033,1600,8.835097424145788,0.06061153097030444,1,18413,215040,2.965694448184222,2.970570421516895,2.93407840013504,0.5038936831864218,0.011732893995940685,0.011970553547143936,0.012096715159714222,0.01099329348653555,0.014131461270153522,0.12074381858110428,0.027272233739495277,0.20425675809383392,0.25002190470695496,0.01297231949865818,0.14458222687244415,0.0374760739505291,0.12531478703022003,0.17415618896484375
1,36,20013,-66.51248492952436,1600,6.628540417440235,0.05662154580855593,1,20013,230400,4.507664532288909,4.510029397681356,4.485503303036094,0.42578319376955437,0.008926188573241234,0.011160608381032944,0.01043157372623682,0.00914549920707941,0.011887184344232082,0.10648883879184723,0.023232173174619675,0.2096106857061386,0.20833061635494232,0.009036566130816936,0.08082334697246552,0.026778077706694603,0.07398862391710281,0.17722845077514648
1,37,20156,-96.38540176209062,143,5.418175231984684,0.052665235847234725,1,20156,245760,5.533960436071668,5.535919633933476,5.500714543887547,0.7969399859785754,0.02245434746146202,0.017131222411990166,0.01359593030065298,0.01695089228451252,0.03410455211997032,0.2598504424095154,0.058290306478738785,0.41455623507499695,0.2315720021724701,0.02625989355146885,0.20839375257492065,0.04086792469024658,0.2403889298439026,0.18142543733119965
1,38,20270,-100.14470159914345,114,5.994181247190996,0.052127926752098604,1,20270,261120,5.69370654929768,5.685114760832353,5.663055014610291,0.7528680902388363,0.03159903362393379,0.017152441665530205,0.013587125577032566,0.01627996936440468,0.03346758335828781,0.2624579966068268,0.058900196105241776,0.4217562675476074,0.21136651933193207,0.029150566086173058,0.19866782426834106,0.039217110723257065,0.20655150711536407,0.1418866515159607
1,39,20353,-103.13554190844297,83,6.514583970606327,0.051681701471156714,1,20353,276480,5.703708082437515,5.709612250328064,5.673088949918747,0.7976245178755028,0.034059882164001465,0.01954389549791813,0.012143399566411972,0.020190030336380005,0.040371645241975784,0.26948878169059753,0.06118382140994072,0.4005923867225647,0.17289003729820251,0.03784503787755966,0.24481379985809326,0.048952773213386536,0.2577100694179535,0.2424372285604477
1,40,20441,-100.74862040486187,88,6.992100213095545,0.05130491880739289,2,20441,307200,5.663367030024529,5.672434350848198,5.647525987029075,0.8164280776047345,0.03055083192884922,0.0209592804312706,0.014953580684959888,0.01872413605451584,0.03542143851518631,0.28473326563835144,0.060056086629629135,0.40180084109306335,0.20291295647621155,0.03724833205342293,0.26346153020858765,0.04590268433094025,0.2517048716545105,0.18601490557193756
1,41,20519,-103.71664400584996,78,7.3406932017632895,0.0509316956034944,2,20519,337920,5.586942802156721,5.6003895248685565,5.5671345267977035,0.8468304570668783,0.039310991764068604,0.018531421199440956,0.01405329443514347,0.020074857398867607,0.03705266863107681,0.295923113822937,0.05695163458585739,0.39714574813842773,0.25144630670547485,0.042791955173015594,0.25830942392349243,0.052275724709033966,0.27351224422454834,0.17796453833580017
1,42,20595,-101.01939680799842,76,6.466118081126894,0.05060197465121746,2,20595,368640,5.577040416853769,5.577062208311898,5.544168509755816,0.7328144649141715,0.03869887441396713,0.01783105917274952,0.013003205880522728,0.019050225615501404,0.034911882132291794,0.2646730840206146,0.05792394280433655,0.37675848603248596,0.14574630558490753,0.03638870641589165,0.22191502153873444,0.049368277192115784,0.2557991147041321,0.1522277444601059
1,43,20725,-103.72922843601555,130,5.899335893988609,0.050215901142607135,2,20725,399360,5.740360938585722,5.734964959438031,5.718348651665908,0.8420004428197175,0.026889869943261147,0.01936761662364006,0.01332777924835682,0.016829444095492363,0.036674316972494125,0.28825563192367554,0.06384921073913574,0.43905094265937805,0.18586422502994537,0.0367988720536232,0.25691545009613037,0.04487733170390129,0.29131701588630676,0.1954968422651291
1,44,20816,-99.66097449697554,91,5.7703389022085405,0.04995466940725843,2,20816,430080,5.744268118010627,5.752600259251064,5.728597733709547,0.7647946051734709,0.03273913636803627,0.01715724542737007,0.013937379233539104,0.019607404246926308,0.028817545622587204,0.2092011272907257,0.05526481196284294,0.37332865595817566,0.17978836596012115,0.03857925534248352,0.27328890562057495,0.04098451882600784,0.24368594586849213,0.18850819766521454
1,45,20908,-100.952587492764,92,6.388095429870817,0.04961644343020004,2,20908,460800,5.7199679639604355,5.725233562787374,5.680655770831638,0.6795339934203936,0.030714770779013634,0.01713196560740471,0.013870934024453163,0.015958910807967186,0.02975974977016449,0.21234752237796783,0.05234134569764137,0.3307298719882965,0.1568964719772339,0.027265409007668495,0.19697771966457367,0.03693762421607971,0.19763046503067017,0.18296942114830017
1,46,21073,-104.31335330940783,165,6.2636647209525105,0.049256410262712234,2,21073,491520,5.742719614505768,5.733017359673977,5.717040158808231,0.7029055476790728,0.02025962807238102,0.01713462732732296,0.013113495893776417,0.016322003677487373,0.03358358144760132,0.253961443901062,0.05485875532031059,0.3566359579563141,0.15651322901248932,0.026494473218917847,0.21784085035324097,0.03284979984164238,0.19356459379196167,0.15533208847045898
1,47,21172,-101.03366631641984,99,5.738173091742728,0.04889846392036454,2,21172,522240,5.730120078722636,5.7295832395553585,5.7028366194831,0.680051128872316,0.022946972399950027,0.015192565508186817,0.01218776497989893,0.017505601048469543,0.025902749970555305,0.18570886552333832,0.05687747523188591,0.3478212356567383,0.13571684062480927,0.02788539044559002,0.2065509408712387,0.03932594880461693,0.18956147134304047,0.2124381959438324
1,48,21248,-103.28977921744809,76,6.599226036242077,0.048526365443216105,2,21248,552960,5.818032670021057,5.827568135942731,5.803777820723397,0.7345775658624213,0.03051735833287239,0.01778358593583107,0.01525178737938404,0.018191779032349586,0.027857432141900063,0.1905713975429535,0.048628196120262146,0.2724722921848297,0.16604241728782654,0.03727477788925171,0.27229049801826477,0.05045120790600777,0.2700668275356293,0.23087647557258606
1,49,22848,-100.43749155383557,1600,4.294562166202813,0.04820708782079229,2,22848,583680,6.038142792582512,6.041462064832449,6.022667769193649,0.6636269765036801,0.010038208216428757,0.009350924752652645,0.007135031744837761,0.015224361792206764,0.014784349128603935,0.05559958145022392,0.0629308670759201,0.5149191617965698,0.13250309228897095,0.015657417476177216,0.13115449249744415,0.03301449120044708,0.25122973322868347,0.1576899290084839
1,50,22945,-98.22185349091887,97,3.647638339797656,0.04575455651133695,2,22945,614400,6.36791796154446,6.368528683980306,6.360603751076592,0.9083641527854289,0.014854022301733494,0.013567842543125153,0.009987431578338146,0.013262588530778885,0.028310023248195648,0.24205957353115082,0.06279074400663376,0.39483189582824707,0.2070930153131485,0.02292175590991974,0.22582665085792542,0.07036890089511871,0.5213878750801086,0.2179839164018631
1,51,23024,-105.56898512877524,79,3.2774097442626955,0.04520436919081523,2,23024,645120,6.366183635166713,6.343347934314183,6.337918925285339,0.8743458297182236,0.015225879848003387,0.017162004485726357,0.01146958488970995,0.019574929028749466,0.02921096235513687,0.21964626014232635,0.057217590510845184,0.36235180497169495,0.15341293811798096,0.03198651596903801,0.2473118007183075,0.06992262601852417,0.5194884538650513,0.22645588219165802
1,52,23094,-103.78231464512646,70,4.842594672526632,0.044886232851149885,2,23094,675840,6.211941422734942,6.236155421393258,6.220203937802996,0.8428226692335946,0.016925210133194923,0.017611399292945862,0.012197752483189106,0.02138710767030716,0.02923733927309513,0.22803083062171936,0.05386124178767204,0.31288522481918335,0.1497192084789276,0.03324740007519722,0.28278064727783203,0.06908491998910904,0.499085009098053,0.18291036784648895
1,53,23174,-101.67083099298179,80,4.678010295331478,0.044572067213831126,2,23174,706560,6.396610808372498,6.390020048618316,6.361276268959045,0.8266706020881731,0.020609436556696892,0.017009731382131577,0.013877199962735176,0.020969297736883163,0.026445159688591957,0.226054385304451,0.05796142295002937,0.34875544905662537,0.2051023244857788,0.03469705954194069,0.25720077753067017,0.058664821088314056,0.42590275406837463,0.1923818290233612
1,54,23250,-111.88914642296731,76,3.435113721234458,0.04426589602949443,2,23250,737280,6.234916608674186,6.229165049961635,6.219649600982666,0.6789188829430364,0.018881598487496376,0.01553137693554163,0.011423842050135136,0.02111014537513256,0.02583555318415165,0.1959850937128067,0.05379858240485191,0.29644301533699036,0.13507790863513947,0.03386840596795082,0.22011731564998627,0.0491742379963398,0.3039240539073944,0.15625984966754913
1,55,23315,-109.70675048045814,65,4.16464000493288,0.04393160414916498,2,23315,768000,6.279865988095602,6.293653686841329,6.269851477940877,0.7215452052843876,0.020697273313999176,0.01787184737622738,0.017134524881839752,0.02138032391667366,0.025068357586860657,0.16796360909938812,0.056382931768894196,0.34202447533607483,0.17210990190505981,0.03363334387540817,0.2038802206516266,0.05198173597455025,0.32169196009635925,0.19834569096565247
1,56,23403,-106.17353704944253,88,3.6842078104615212,0.04360947566918838,2,23403,798720,6.424627262353897,6.430073767900467,6.415812462568283,0.6830002885650505,0.02515183761715889,0.015870671719312668,0.01432774867862463,0.01839722879230976,0.026190923526883125,0.21021641790866852,0.04878595843911171,0.2731356620788574,0.1704873889684677,0.03179626166820526,0.20453014969825745,0.05090514197945595,0.2959445118904114,0.20035193860530853
1,57,23465,-112.71828957647085,62,4.860162578523159,0.043284415309027435,2,23465,829440,6.360178303718567,6.364782921473185,6.343562801678975,0.7332079306405076,0.021238915622234344,0.01684265211224556,0.015055443160235882,0.020733609795570374,0.0234511885792017,0.15291576087474823,0.05713745579123497,0.32669979333877563,0.19715484976768494,0.036627210676670074,0.22749541699886322,0.055733706802129745,0.3064032793045044,0.22609998285770416
1,58,23533,-109.65231288503855,68,4.4788824046651525,0.04300093483520952,2,23533,860160,6.26701340675354,6.257994707425436,6.253654583295186,0.653642750472999,0.02050389163196087,0.015459859743714333,0.013888919726014137,0.021984485909342766,0.025538690388202667,0.18570606410503387,0.0512644462287426,0.2881505489349365,0.17272548377513885,0.03432226553559303,0.2305835336446762,0.04752495884895325,0.2704947590827942,0.16310247778892517
1,59,23601,-109.85079684108496,68,3.484424177805583,0.04271060252910132,2,23601,890880,6.121182831128438,6.127624980608622,6.111940280596415,0.6565728712753922,0.019958846271038055,0.01488212589174509,0.01370603870600462,0.02117190696299076,0.025259168818593025,0.19282570481300354,0.05466211214661598,0.30588170886039734,0.17461667954921722,0.03326650708913803,0.20498037338256836,0.04885704442858696,0.2590036392211914,0.16076745092868805
1,60,23676,-105.08746624737978,75,4.761104240162032,0.04240901327381531,3,23676,936960,6.170751850945609,6.180088782310486,6.159620189666748,0.6608161711692812,0.01654019020497799,0.01672414317727089,0.015284156426787376,0.018100906163454056,0.025475621223449707,0.2034403681755066,0.047972142696380615,0.2594437301158905,0.1625124216079712,0.030110416933894157,0.18869951367378235,0.05248599871993065,0.2660609781742096,0.20295511186122894
1,61,23755,-101.49189727101475,79,3.751247722761972,0.042099400663721386,3,23755,983040,6.399547352109637,6.393684244155883,6.384587676184518,0.6719854491043694,0.017301227897405624,0.015329086221754551,0.01311340183019638,0.01826535537838936,0.02727949433028698,0.23168718814849854,0.047512270510196686,0.26715609431266785,0.18673647940158844,0.02970084920525551,0.19640563428401947,0.05049293115735054,0.2477625161409378,0.19503307342529297
1,62,23812,-110.19259812124074,57,3.4642153668403624,0.041868168423357215,3,23812,1000000,6.211768116950989,6.229025774002075,6.205869855880738,0.6355265835572405,0.017599578946828842,0.015866879373788834,0.016253629699349403,0.021473169326782227,0.026231538504362106,0.18443749845027924,0.05681426823139191,0.31367236375808716,0.13523003458976746,0.03513569012284279,0.20302844047546387,0.04683418571949005,0.24990546703338623,0.15720435976982117
1,63,23877,-109.4113945569843,65,5.671432432035605,0.041592750388554776,3,23877,1000000,6.038038245836893,6.007746235529582,5.9954539895057675,0.6168968226665106,0.017177490517497063,0.01665494218468666,0.0154346264898777,0.019260738044977188,0.02684575319290161,0.20863179862499237,0.050323884934186935,0.23911267518997192,0.12329331785440445,0.03428701311349869,0.21863599121570587,0.04329376667737961,0.2182253897190094,0.1868985891342163
1,64,23940,-108.97135642543435,63,3.6703650454680123,0.041338676176831714,3,23940,1000000,6.03565567334493,6.043586866060893,6.033059227466583,0.6226565811053786,0.016251446679234505,0.01637945882976055,0.014730081893503666,0.020664267241954803,0.028868451714515686,0.22063153982162476,0.0480666384100914,0.25396478176116943,0.12102947384119034,0.03235100582242012,0.21774333715438843,0.04094428941607475,0.21395492553710938,0.17202863097190857
1,65,23999,-110.38282584119588,59,4.444376779794693,0.041095854032210555,3,23999,1000000,6.216260294914246,6.214484033584594,6.194011940956115,0.5719780703890796,0.018164830282330513,0.01593627594411373,0.01590418443083763,0.020730042830109596,0.025612279772758484,0.17270880937576294,0.04826870560646057,0.25961029529571533,0.11517445743083954,0.03200913593173027,0.1782228797674179,0.04315115883946419,0.23719047009944916,0.14233621954917908
1,66,24095,-121.76737163355574,96,3.7847131162881853,0.04084726809707594,3,24095,1000000,6.055463552474976,6.041633250978258,6.02729185157352,0.8285709228366613,0.020587392151355743,0.015114039182662964,0.015580029226839542,0.022296158596873283,0.02821333520114422,0.22850416600704193,0.05515909194946289,0.3769761621952057,0.23339946568012238,0.03414031118154526,0.27971866726875305,0.05593689903616905,0.33633163571357727,0.1771984100341797
1,67,24156,-112.46319080516696,61,4.1735799908638,0.040709420045216875,3,24156,1000000,5.800561022758484,5.841391996542613,5.80817482471466,0.5852500463281174,0.018440954387187958,0.012690545059740543,0.014299517497420311,0.021969029679894447,0.02679414488375187,0.17145688831806183,0.045149799436330795,0.2777442932128906,0.1155000701546669,0.030732233077287674,0.19212467968463898,0.04319477826356888,0.23846393823623657,0.13489554822444916
1,68,24219,-110.3110649921,63,4.040368090073268,0.040490727139808606,3,24219,1000000,5.9373103419939675,5.943363380432129,5.935970298449198,0.6868461036177539,0.01473878975957632,0.017655786126852036,0.015525619499385357,0.020827705040574074,0.02785223349928856,0.2088315188884735,0.051137134432792664,0.300827294588089,0.10494156926870346,0.033727001398801804,0.2348337024450302,0.042141467332839966,0.21275413036346436,0.20779499411582947
1,69,24305,-107.28291964065284,86,3.589144868031144,0.04030047607020283,3,24305,1000000,5.756687647104263,5.760625252127648,5.736215195059776,0.6432514913206878,0.02295318804681301,0.013822316192090511,0.012134691700339317,0.02173759415745735,0.02851203642785549,0.21945448219776154,0.04401406645774841,0.2976907789707184,0.13219882547855377,0.03451972454786301,0.21297632157802582,0.04205535352230072,0.22311492264270782,0.14165860414505005
